Terytorium	Przystąpiło/zdało 	Płeć 	Rok	Liczba osób
Polska	took	men	2010	160988
Polska	took	women	2010	205635
Polska	took	men	2011	150984
Polska	took	women	2011	192840
Polska	took	men	2012	145321
Polska	took	women	2012	184697
Polska	took	men	2013	139294
Polska	took	women	2013	175191
Polska	took	men	2014	130721
Polska	took	women	2014	163253
Polska	took	men	2015	123785
Polska	took	women	2015	151783
Polska	took	men	2016	115469
Polska	took	women	2016	142903
Polska	took	men	2017	116577
Polska	took	women	2017	141453
Polska	took	men	2018	112592
Polska	took	women	2018	135248
Polska	passed	men	2010	129647
Polska	passed	women	2010	169125
Polska	passed	men	2011	113551
Polska	passed	women	2011	145978
Polska	passed	men	2012	116132
Polska	passed	women	2012	148990
Polska	passed	men	2013	111469
Polska	passed	women	2013	143588
Polska	passed	men	2014	91146
Polska	passed	women	2014	116877
Polska	passed	men	2015	91984
Polska	passed	women	2015	112513
Polska	passed	men	2016	91574
Polska	passed	women	2016	113787
Polska	passed	men	2017	91334
Polska	passed	women	2017	111216
Polska	passed	men	2018	88637
Polska	passed	women	2018	108779
Dolnośląskie	took	men	2010	9951
Dolnośląskie	took	women	2010	13448
Dolnośląskie	took	men	2011	9386
Dolnośląskie	took	women	2011	12146
Dolnośląskie	took	men	2012	9187
Dolnośląskie	took	women	2012	11752
Dolnośląskie	took	men	2013	8764
Dolnośląskie	took	women	2013	11370
Dolnośląskie	took	men	2014	8459
Dolnośląskie	took	women	2014	10474
Dolnośląskie	took	men	2015	8184
Dolnośląskie	took	women	2015	9579
Dolnośląskie	took	men	2016	7481
Dolnośląskie	took	women	2016	9208
Dolnośląskie	took	men	2017	7554
Dolnośląskie	took	women	2017	9077
Dolnośląskie	took	men	2018	7054
Dolnośląskie	took	women	2018	8444
Dolnośląskie	passed	men	2010	8171
Dolnośląskie	passed	women	2010	11005
Dolnośląskie	passed	men	2011	7090
Dolnośląskie	passed	women	2011	9018
Dolnośląskie	passed	men	2012	7425
Dolnośląskie	passed	women	2012	9344
Dolnośląskie	passed	men	2013	7019
Dolnośląskie	passed	women	2013	9208
Dolnośląskie	passed	men	2014	5881
Dolnośląskie	passed	women	2014	7223
Dolnośląskie	passed	men	2015	6054
Dolnośląskie	passed	women	2015	6871
Dolnośląskie	passed	men	2016	5873
Dolnośląskie	passed	women	2016	7041
Dolnośląskie	passed	men	2017	5833
